"analysisId","targetId","comparatorId"
1,1006492,1106493
1,1006492,1106494
1,1006492,1106495
1,1006492,1106500
1,1006492,1106521
1,1006492,1106706
1,2006492,2106493
1,2006492,2106494
1,2006492,2106495
1,2006492,2106500
1,2006492,2106521
1,2006492,2106706
1,6492,106493
1,6492,106494
1,6492,106495
1,6492,106499
1,6492,106500
1,6492,106502
1,6492,106503
1,6492,106504
1,6492,106505
1,6492,106507
1,6492,106508
1,6492,106509
1,6492,106510
1,6492,106511
1,6492,106512
1,6492,106513
1,6492,106515
1,6492,106516
1,6492,106520
1,6492,106521
1,6492,106523
1,6492,106524
1,6492,106525
1,6492,106526
1,6492,106527
1,6492,106528
1,6492,106529
1,6492,106706
1,6492,6493
1,6492,6494
1,6492,6495
1,6492,6499
1,6492,6500
1,6492,6502
1,6492,6503
1,6492,6504
1,6492,6505
1,6492,6507
1,6492,6508
1,6492,6509
1,6492,6510
1,6492,6511
1,6492,6512
1,6492,6513
1,6492,6515
1,6492,6516
1,6492,6520
1,6492,6521
1,6492,6523
1,6492,6524
1,6492,6525
1,6492,6526
1,6492,6527
1,6492,6528
1,6492,6529
1,6492,6706
10,1006492,1106493
10,1006492,1106494
10,1006492,1106495
10,1006492,1106500
10,1006492,1106521
10,1006492,1106706
10,2006492,2106493
10,2006492,2106494
10,2006492,2106495
10,2006492,2106500
10,2006492,2106521
10,2006492,2106706
10,6492,106493
10,6492,106494
10,6492,106495
10,6492,106499
10,6492,106500
10,6492,106502
10,6492,106503
10,6492,106504
10,6492,106505
10,6492,106507
10,6492,106508
10,6492,106509
10,6492,106510
10,6492,106511
10,6492,106512
10,6492,106513
10,6492,106515
10,6492,106516
10,6492,106520
10,6492,106521
10,6492,106523
10,6492,106524
10,6492,106525
10,6492,106526
10,6492,106527
10,6492,106528
10,6492,106529
10,6492,106706
10,6492,6493
10,6492,6494
10,6492,6495
10,6492,6499
10,6492,6500
10,6492,6502
10,6492,6503
10,6492,6504
10,6492,6505
10,6492,6507
10,6492,6508
10,6492,6509
10,6492,6510
10,6492,6511
10,6492,6512
10,6492,6513
10,6492,6515
10,6492,6516
10,6492,6520
10,6492,6521
10,6492,6523
10,6492,6524
10,6492,6525
10,6492,6526
10,6492,6527
10,6492,6528
10,6492,6529
10,6492,6706
11,1006492,1106493
11,1006492,1106494
11,1006492,1106495
11,1006492,1106500
11,1006492,1106521
11,1006492,1106706
11,2006492,2106493
11,2006492,2106494
11,2006492,2106495
11,2006492,2106500
11,2006492,2106521
11,2006492,2106706
11,6492,106493
11,6492,106494
11,6492,106495
11,6492,106499
11,6492,106500
11,6492,106502
11,6492,106503
11,6492,106504
11,6492,106505
11,6492,106507
11,6492,106508
11,6492,106509
11,6492,106510
11,6492,106511
11,6492,106512
11,6492,106513
11,6492,106515
11,6492,106516
11,6492,106520
11,6492,106521
11,6492,106523
11,6492,106524
11,6492,106525
11,6492,106526
11,6492,106527
11,6492,106528
11,6492,106529
11,6492,106706
11,6492,6493
11,6492,6494
11,6492,6495
11,6492,6499
11,6492,6500
11,6492,6502
11,6492,6503
11,6492,6504
11,6492,6505
11,6492,6507
11,6492,6508
11,6492,6509
11,6492,6510
11,6492,6511
11,6492,6512
11,6492,6513
11,6492,6515
11,6492,6516
11,6492,6520
11,6492,6521
11,6492,6523
11,6492,6524
11,6492,6525
11,6492,6526
11,6492,6527
11,6492,6528
11,6492,6529
11,6492,6706
12,1006492,1106493
12,1006492,1106494
12,1006492,1106495
12,1006492,1106500
12,1006492,1106521
12,1006492,1106706
12,2006492,2106493
12,2006492,2106494
12,2006492,2106495
12,2006492,2106500
12,2006492,2106521
12,2006492,2106706
12,6492,106493
12,6492,106494
12,6492,106495
12,6492,106499
12,6492,106500
12,6492,106502
12,6492,106503
12,6492,106504
12,6492,106505
12,6492,106507
12,6492,106508
12,6492,106509
12,6492,106510
12,6492,106511
12,6492,106512
12,6492,106513
12,6492,106515
12,6492,106516
12,6492,106520
12,6492,106521
12,6492,106523
12,6492,106524
12,6492,106525
12,6492,106526
12,6492,106527
12,6492,106528
12,6492,106529
12,6492,106706
12,6492,6493
12,6492,6494
12,6492,6495
12,6492,6499
12,6492,6500
12,6492,6502
12,6492,6503
12,6492,6504
12,6492,6505
12,6492,6507
12,6492,6508
12,6492,6509
12,6492,6510
12,6492,6511
12,6492,6512
12,6492,6513
12,6492,6515
12,6492,6516
12,6492,6520
12,6492,6521
12,6492,6523
12,6492,6524
12,6492,6525
12,6492,6526
12,6492,6527
12,6492,6528
12,6492,6529
12,6492,6706
13,1006492,1106493
13,1006492,1106494
13,1006492,1106495
13,1006492,1106500
13,1006492,1106521
13,1006492,1106706
13,2006492,2106493
13,2006492,2106494
13,2006492,2106495
13,2006492,2106500
13,2006492,2106521
13,2006492,2106706
13,6492,106493
13,6492,106494
13,6492,106495
13,6492,106499
13,6492,106500
13,6492,106502
13,6492,106503
13,6492,106504
13,6492,106505
13,6492,106507
13,6492,106508
13,6492,106509
13,6492,106510
13,6492,106511
13,6492,106512
13,6492,106513
13,6492,106515
13,6492,106516
13,6492,106520
13,6492,106521
13,6492,106523
13,6492,106524
13,6492,106525
13,6492,106526
13,6492,106527
13,6492,106528
13,6492,106529
13,6492,106706
13,6492,6493
13,6492,6494
13,6492,6495
13,6492,6499
13,6492,6500
13,6492,6502
13,6492,6503
13,6492,6504
13,6492,6505
13,6492,6507
13,6492,6508
13,6492,6509
13,6492,6510
13,6492,6511
13,6492,6512
13,6492,6513
13,6492,6515
13,6492,6516
13,6492,6520
13,6492,6521
13,6492,6523
13,6492,6524
13,6492,6525
13,6492,6526
13,6492,6527
13,6492,6528
13,6492,6529
13,6492,6706
14,1006492,1106493
14,1006492,1106494
14,1006492,1106495
14,1006492,1106500
14,1006492,1106521
14,1006492,1106706
14,2006492,2106493
14,2006492,2106494
14,2006492,2106495
14,2006492,2106500
14,2006492,2106521
14,2006492,2106706
14,6492,106493
14,6492,106494
14,6492,106495
14,6492,106499
14,6492,106500
14,6492,106502
14,6492,106503
14,6492,106504
14,6492,106505
14,6492,106507
14,6492,106508
14,6492,106509
14,6492,106510
14,6492,106511
14,6492,106512
14,6492,106513
14,6492,106515
14,6492,106516
14,6492,106520
14,6492,106521
14,6492,106523
14,6492,106524
14,6492,106525
14,6492,106526
14,6492,106527
14,6492,106528
14,6492,106529
14,6492,106706
14,6492,6493
14,6492,6494
14,6492,6495
14,6492,6499
14,6492,6500
14,6492,6502
14,6492,6503
14,6492,6504
14,6492,6505
14,6492,6507
14,6492,6508
14,6492,6509
14,6492,6510
14,6492,6511
14,6492,6512
14,6492,6513
14,6492,6515
14,6492,6516
14,6492,6520
14,6492,6521
14,6492,6523
14,6492,6524
14,6492,6525
14,6492,6526
14,6492,6527
14,6492,6528
14,6492,6529
14,6492,6706
2,1006492,1106493
2,1006492,1106494
2,1006492,1106495
2,1006492,1106500
2,1006492,1106521
2,1006492,1106706
2,2006492,2106493
2,2006492,2106494
2,2006492,2106495
2,2006492,2106500
2,2006492,2106521
2,2006492,2106706
2,6492,106493
2,6492,106494
2,6492,106495
2,6492,106499
2,6492,106500
2,6492,106502
2,6492,106503
2,6492,106504
2,6492,106505
2,6492,106507
2,6492,106508
2,6492,106509
2,6492,106510
2,6492,106511
2,6492,106512
2,6492,106513
2,6492,106515
2,6492,106516
2,6492,106520
2,6492,106521
2,6492,106523
