targetId,comparatorId,outcomeIds,excludedCovariateConceptIds
8260,8259,8208;8209;8210;8211;8212;8233,2005904;2101659;2101660;2105068;2105085;2105086;2105102;2105103;4033525;4034299;4034300;4076181;4076191;4076873;4079266;4079268;4079394;4079395;4079527;4079651;4079652;4079653;4079654;4079655;4138870;4138872;4205774;4274954;37017417;37111470;37118018;42536412;42897906;42897907;42897908;42897909;42897910;42897911;43018700;43019637;43531648;44514796;44514797;44514803;44514804;45889826
8257,8256,8208;8209;8210;8211;8212;8233,2005904;2101659;2101660;2105068;2105085;2105086;2105102;2105103;4033525;4034299;4034300;4076181;4076191;4076873;4079266;4079268;4079394;4079395;4079527;4079651;4079652;4079653;4079654;4079655;4138870;4138872;4205774;4274954;37017417;37111470;37118018;42536412;42897906;42897907;42897908;42897909;42897910;42897911;43018700;43019637;43531648;44514796;44514797;44514803;44514804;45889826
